Date,PA,LINK,PETRO,CN,CITIC
7/10/2016,67.083046,10.699313,52.184399,5.359856,9.429669
11/10/2016,65.479279,10.530377,50.979435,5.388987,9.466147
12/10/2016,65.525101,10.417753,50.469639,5.311306,9.520864
13/10/2016,65.433456,10.323899,51.257504,5.165658,9.283755
14/10/2016,65.983322,10.455295,51.90633,5.204498,9.520864
17/10/2016,65.891678,10.380212,51.628262,5.155948,9.338473
18/10/2016,66.029144,10.549148,52.416126,5.233628,9.557343
19/10/2016,65.708389,10.492835,51.952675,5.223918,9.539104
20/10/2016,65.983322,10.530377,51.628262,5.379276,9.739736
21/10/2016,65.983322,10.530377,51.628262,5.379276,9.739736
24/10/2016,67.220497,10.811938,52.416126,5.524924,9.757974
25/10/2016,67.037224,10.699313,52.369781,5.476375,9.757974
26/10/2016,66.853935,10.567919,52.091713,5.359856,9.557343
27/10/2016,66.762291,10.492835,51.952675,5.253047,9.301995
28/10/2016,66.716469,10.436523,50.979435,5.223918,9.15608
31/10/2016,66.853935,10.455295,51.257504,5.185079,9.001047
1/11/2016,68.091125,10.680543,51.489227,5.243338,9.110482
2/11/2016,67.632912,10.511607,50.747711,5.12682,9.001047
3/11/2016,66.94558,10.511607,51.164814,5.107399,8.955449
4/11/2016,67.495438,10.436523,50.562328,5.146239,8.891613
7/11/2016,68.045296,10.511607,50.747711,5.233628,8.982809
8/11/2016,68.091125,10.62423,50.794052,5.243338,8.937211
9/11/2016,67.083046,10.436523,50.840397,5.049139,8.690981
10/11/2016,67.587082,10.811938,50.840397,5.117109,8.928091
11/11/2016,66.304077,10.718085,49.218323,5.03943,8.763938
14/11/2016,66.029144,10.680543,48.013359,4.981172,8.672742
15/11/2016,66.349892,10.868251,48.337772,5.0103,8.71834
16/11/2016,65.983322,10.924563,47.549911,5.05885,8.873373
17/11/2016,66.304077,10.980874,48.70853,5.02972,8.827775
18/11/2016,66.624817,10.962104,48.986599,5.02972,8.909853
21/11/2016,66.349892,11.074729,48.986599,5.049139,8.873373
